strain_zz,stress_zz_MPa,time_s
0.000000000000000000e+00,-1.937709252312439279e-10,0.000000000000000000e+00
2.496880198587136685e-03,1.129891446951637874e+02,2.500000000000000000e+00
4.987541511038938447e-03,1.182773293103349488e+02,5.000000000000000000e+00
7.472014838700871686e-03,1.218813460432484277e+02,7.500000000000000000e+00
9.950330853167873441e-03,1.252053674968861969e+02,1.000000000000000000e+01
1.242251999855714835e-02,1.282955622250492240e+02,1.250000000000000000e+01
1.488861249375029311e-02,1.311761460162429955e+02,1.500000000000000000e+01
1.734863833461263577e-02,1.338679085838384424e+02,1.750000000000000000e+01
1.980262729617930303e-02,1.363889683226919090e+02,2.000000000000000000e+01
2.225060893481927565e-02,1.387551899724883526e+02,2.250000000000000000e+01
2.469261259037096312e-02,1.409805242402422039e+02,2.500000000000000000e+01
2.712866738825205071e-02,1.430772879204529602e+02,2.750000000000000000e+01
2.955880224154378011e-02,1.450563963217868206e+02,3.000000000000000000e+01
3.198304585305011133e-02,1.469275571836327288e+02,3.250000000000000000e+01
3.440142671733174839e-02,1.486994333067239040e+02,3.500000000000000000e+01
3.681397312271546957e-02,1.503797796204711119e+02,3.750000000000000000e+01
3.922071315328040653e-02,1.519755592438237954e+02,4.000000000000000000e+01
4.162167469081861498e-02,1.534931521444808880e+02,4.250000000000000000e+01
4.401688541677340610e-02,1.549379829297188280e+02,4.500000000000000000e+01
4.640637281415479348e-02,1.563153039361413335e+02,4.750000000000000000e+01
4.879016416943095930e-02,1.576297672133962919e+02,5.000000000000000000e+01
5.116828657439840417e-02,1.588856023277395479e+02,5.250000000000000000e+01
5.354076692802865745e-02,1.600866649993813837e+02,5.500000000000000000e+01
5.590763193829485778e-02,1.612364776627495075e+02,5.750000000000000000e+01
5.826890812397463731e-02,1.623382648264579302e+02,6.000000000000000000e+01
6.062462181643360482e-02,1.633949840217323697e+02,6.250000000000000000e+01
6.297479916138726264e-02,1.644093529662431479e+02,6.500000000000000000e+01
6.531946612064129520e-02,1.653838734752882260e+02,6.750000000000000000e+01
6.765864847381340696e-02,1.663208524357007718e+02,7.000000000000000000e+01
6.999237182003349711e-02,1.672224285193794060e+02,7.250000000000000000e+01
7.232066157962464825e-02,1.680905567192079388e+02,7.500000000000000000e+01
7.464354299576426988e-02,1.689270722197532280e+02,7.750000000000000000e+01
7.696104113612668718e-02,1.697336698817175034e+02,8.000000000000000000e+01
7.927318089450612060e-02,1.705119244055373713e+02,8.250000000000000000e+01
8.157998699242108298e-02,1.712633009701378057e+02,8.500000000000000000e+01
8.388148398070065237e-02,1.719891646366481837e+02,8.750000000000000000e+01
8.617769624105051096e-02,1.726907887959449113e+02,9.000000000000000000e+01
8.846864798760642468e-02,1.733693627722490760e+02,9.250000000000000000e+01
9.075436326846222923e-02,1.740259986817912363e+02,9.500000000000000000e+01
9.303486596718740786e-02,1.746617376277835092e+02,9.750000000000000000e+01
9.531017980432297809e-02,1.752775553077595418e+02,1.000000000000000000e+02
