strain_zz,stress_zz_MPa,time_s
0.000000000000000000e+00,1.236652503755941097e-11,0.000000000000000000e+00
2.496880198590233600e-03,8.985406745408124607e+01,2.500000000000000000e+00
4.987541511038938447e-03,9.386148332125375759e+01,5.000000000000000000e+00
7.472014838700871686e-03,9.628503339468605304e+01,7.500000000000000000e+00
9.950330853167873441e-03,9.854266142736719303e+01,1.000000000000000000e+01
1.242251999855692630e-02,1.007550695725298624e+02,1.250000000000000000e+01
1.488861249375029311e-02,1.026966833883101771e+02,1.500000000000000000e+01
1.734863833461263577e-02,1.045734708798064503e+02,1.750000000000000000e+01
1.980262729617930303e-02,1.063908819162291906e+02,2.000000000000000000e+01
2.225060893481927565e-02,1.081128540994090912e+02,2.250000000000000000e+01
2.469261259037096312e-02,1.097528606752173488e+02,2.500000000000000000e+01
2.712866738825205071e-02,1.113160665249306760e+02,2.750000000000000000e+01
2.955880224154356847e-02,1.128079927318515558e+02,3.000000000000000000e+01
3.198304585305033337e-02,1.142336568972826143e+02,3.250000000000000000e+01
3.440142671733174839e-02,1.155976431042128354e+02,3.500000000000000000e+01
3.681397312271546957e-02,1.169038892221011423e+02,3.750000000000000000e+01
3.922071315328040653e-02,1.181562347290585393e+02,4.000000000000000000e+01
4.162167469081886478e-02,1.193580958349606789e+02,4.250000000000000000e+01
4.401688541677340610e-02,1.205126006839247310e+02,4.500000000000000000e+01
4.640637281415479348e-02,1.216226187055957126e+02,4.750000000000000000e+01
4.879016416943095930e-02,1.226907863673000918e+02,5.000000000000000000e+01
5.116828657439857070e-02,1.237195306299304178e+02,5.250000000000000000e+01
5.354076692802865745e-02,1.247110894744396035e+02,5.500000000000000000e+01
5.590763193829485778e-02,1.256675301623030236e+02,5.750000000000000000e+01
5.826890812397463731e-02,1.265907652987479537e+02,6.000000000000000000e+01
6.062462181643360482e-02,1.274825676154776204e+02,6.250000000000000000e+01
6.297479916138726264e-02,1.283445821314685702e+02,6.500000000000000000e+01
6.531946612064135071e-02,1.291783380790768376e+02,6.750000000000000000e+01
6.765864847381340696e-02,1.299852590311596430e+02,7.000000000000000000e+01
6.999237182003349711e-02,1.307666721224736648e+02,7.250000000000000000e+01
7.232066157962464825e-02,1.315238206196270596e+02,7.500000000000000000e+01
7.464354299576400620e-02,1.322578534048413985e+02,7.750000000000000000e+01
7.696104113612643738e-02,1.329698600193015920e+02,8.000000000000000000e+01
7.927318089450620386e-02,1.336608569370078499e+02,8.250000000000000000e+01
8.157998699242155483e-02,1.343317983877218182e+02,8.500000000000000000e+01
8.388148398070045808e-02,1.349835814586467961e+02,8.750000000000000000e+01
8.617769624105051096e-02,1.356170506955077713e+02,9.000000000000000000e+01
8.846864798760642468e-02,1.362330023577499958e+02,9.250000000000000000e+01
9.075436326846222923e-02,1.368321883336314784e+02,9.500000000000000000e+01
9.303486596718740786e-02,1.374153197651927769e+02,9.750000000000000000e+01
9.531017980432301973e-02,1.379830704207219867e+02,1.000000000000000000e+02
9.758032833886191859e-02,1.385360798554820292e+02,1.025000000000000000e+02
