strain_zz,stress_zz_MPa,time_s
9.984533496971430278e-02,1.390749564001293663e+02,1.050000000000000000e+02
1.021052229371515047e-01,1.396002800140683746e+02,1.075000000000000000e+02
1.043600153242405792e-01,1.401126050492153752e+02,1.100000000000000000e+02
1.066097350582559666e-01,1.406124629686528920e+02,1.125000000000000000e+02
1.088544049120798579e-01,1.411003650775033691e+02,1.150000000000000000e+02
1.110940475055846310e-01,1.415768053345375677e+02,1.175000000000000000e+02
1.133286853070007705e-01,1.420422633281525577e+02,1.200000000000000000e+02
1.155583406342701180e-01,1.424972075368077640e+02,1.225000000000000000e+02
1.177830356563811381e-01,1.429419838300711945e+02,1.250000000000000000e+02
1.200027923946940661e-01,1.433772910830290073e+02,1.275000000000000000e+02
1.222176327242465721e-01,1.438034621305457108e+02,1.300000000000000000e+02
1.244275783750492387e-01,1.442209672978400761e+02,1.325000000000000000e+02
1.266326509333632888e-01,1.446302948516462266e+02,1.350000000000000000e+02
1.288328718429658792e-01,1.450319631687382866e+02,1.375000000000000000e+02
1.310282624064012247e-01,1.454265388413477922e+02,1.400000000000000000e+02
1.332188437862205088e-01,1.458146621387890320e+02,1.425000000000000000e+02
1.354046370062001459e-01,1.461970848267381768e+02,1.450000000000000000e+02
1.375856629525600838e-01,1.465747268947315547e+02,1.475000000000000000e+02
1.397619423751557677e-01,1.469487613193424522e+02,1.500000000000000000e+02
1.419334958886635245e-01,1.473207369108172315e+02,1.525000000000000000e+02
1.441003439737542080e-01,1.476927431266481392e+02,1.550000000000000000e+02
1.462625069782491349e-01,1.480675971708221255e+02,1.575000000000000000e+02
1.484200051182701929e-01,1.484489865924322203e+02,1.600000000000000000e+02
1.505728584793714631e-01,1.488414576118728121e+02,1.625000000000000000e+02
1.527210870176604618e-01,1.492501771933497992e+02,1.650000000000000000e+02
1.548647105609124164e-01,1.496805460857467835e+02,1.675000000000000000e+02
1.570037488096616141e-01,1.501378610765541737e+02,1.700000000000000000e+02
1.591382213382940836e-01,1.506271603158276378e+02,1.725000000000000000e+02
1.612681475961192934e-01,1.511532160317308637e+02,1.750000000000000000e+02
1.633935469084324965e-01,1.517205208107053807e+02,1.775000000000000000e+02
1.655144384775701361e-01,1.523327999398595693e+02,1.800000000000000000e+02
1.676308413839477374e-01,1.529891114607245584e+02,1.825000000000000000e+02
1.697427745870909166e-01,1.536629346587513396e+02,1.850000000000000000e+02
1.718502569266557312e-01,1.542708901155349679e+02,1.875000000000000000e+02
1.739533071234345696e-01,1.547959742131290852e+02,1.900000000000000000e+02
1.760519437803557963e-01,1.552731899923441006e+02,1.925000000000000000e+02
1.781461853834702957e-01,1.557311137150808804e+02,1.950000000000000000e+02
1.802360503029299399e-01,1.561799225613395663e+02,1.975000000000000000e+02
1.823215567939512338e-01,1.566225862739046306e+02,2.000000000000000000e+02
1.844027229977757976e-01,1.570600438096312814e+02,2.025000000000000000e+02
1.864795669426145830e-01,1.574925763974639779e+02,2.050000000000000000e+02
1.885521065445872890e-01,1.579203014934209364e+02,2.075000000000000000e+02
1.906203596086459839e-01,1.583432946202390497e+02,2.100000000000000000e+02
1.926843438294975897e-01,1.587616200252971055e+02,2.125000000000000000e+02
1.947440767925083249e-01,1.591753386823732512e+02,2.150000000000000000e+02
1.967995759746036522e-01,1.595845104233519294e+02,2.175000000000000000e+02
1.988508587451610632e-01,1.599891944643076442e+02,2.200000000000000000e+02
2.008979423668861564e-01,1.603894494976846943e+02,2.225000000000000000e+02
2.029408439966862154e-01,1.607853336727224871e+02,2.250000000000000000e+02
2.049795806865346848e-01,1.611769045540746106e+02,2.275000000000000000e+02
2.070141693843221831e-01,1.615642190828731373e+02,2.300000000000000000e+02
2.090446269347038533e-01,1.619473335431423493e+02,2.325000000000000000e+02
2.110709700799362765e-01,1.623263035338001714e+02,2.350000000000000000e+02
2.130932154607041162e-01,1.627011839479490618e+02,2.375000000000000000e+02
2.151113796169412395e-01,1.630720289569797785e+02,2.400000000000000000e+02
2.171254789886423731e-01,1.634388919974233829e+02,2.425000000000000000e+02
2.191355299166666548e-01,1.638018257630521646e+02,2.450000000000000000e+02
2.211415486435322209e-01,1.641608822001756494e+02,2.475000000000000000e+02
2.231435513142052962e-01,1.645161125047891346e+02,2.500000000000000000e+02
2.251415539768788221e-01,1.648675671221549521e+02,2.525000000000000000e+02
2.271355725837427564e-01,1.652152957487443814e+02,2.550000000000000000e+02
2.291256229917525977e-01,1.655593473350066915e+02,2.575000000000000000e+02
2.311117209633820890e-01,1.658997700917174996e+02,2.600000000000000000e+02
2.330938821673736450e-01,1.662366114924825524e+02,2.625000000000000000e+02
2.350721221794791482e-01,1.665699182841211723e+02,2.650000000000000000e+02
2.370464564831968879e-01,1.668997364916794197e+02,2.675000000000000000e+02
2.390169004704954803e-01,1.672261114287566954e+02,2.700000000000000000e+02
2.409834694425363188e-01,1.675490877038802751e+02,2.725000000000000000e+02
2.429461786103850052e-01,1.678687092322208514e+02,2.750000000000000000e+02
2.449050430957179225e-01,1.681850192427685329e+02,2.775000000000000000e+02
2.468600779315209826e-01,1.684980602907637035e+02,2.800000000000000000e+02
2.488112980627831261e-01,1.688078742654545010e+02,2.825000000000000000e+02
2.507587183471783887e-01,1.691145024019336347e+02,2.850000000000000000e+02
2.527023535557493816e-01,1.694179852905233759e+02,2.875000000000000000e+02
2.546422183735758127e-01,1.697183628878872526e+02,2.900000000000000000e+02
2.565783274004421743e-01,1.700156745265071550e+02,2.925000000000000000e+02
2.585106951514964946e-01,1.703099589264163285e+02,2.950000000000000000e+02
2.604393360579015382e-01,1.706012542043426095e+02,2.975000000000000000e+02
2.623642644674860080e-01,1.708895978849542985e+02,3.000000000000000000e+02
2.642854946453799814e-01,1.711750269101102901e+02,3.025000000000000000e+02
2.662030407746519556e-01,1.714575776506418379e+02,3.050000000000000000e+02
2.681169169569359578e-01,1.717372859148866269e+02,3.075000000000000000e+02
2.700271372130554348e-01,1.720141869589874943e+02,3.100000000000000000e+02
2.719337154836370396e-01,1.722883154975527020e+02,3.125000000000000000e+02
2.738366656297229751e-01,1.725597057121257194e+02,3.150000000000000000e+02
2.757360014333750664e-01,1.728283912623460878e+02,3.175000000000000000e+02
2.776317365982738372e-01,1.730944052929364716e+02,3.200000000000000000e+02
2.795238847503118129e-01,1.733577804458867888e+02,3.225000000000000000e+02
2.814124594381798850e-01,1.736185488674183262e+02,3.250000000000000000e+02
2.832974741339514546e-01,1.738767422175523620e+02,3.275000000000000000e+02
2.851789422336569180e-01,1.741323916792772479e+02,3.300000000000000000e+02
2.870568770578572071e-01,1.743855279665730222e+02,3.325000000000000000e+02
2.889312918522076723e-01,1.746361813336771434e+02,3.350000000000000000e+02
2.908021997880187448e-01,1.748843815825029253e+02,3.375000000000000000e+02
2.926696139628147675e-01,1.751301580716196327e+02,3.400000000000000000e+02
2.945335474008775600e-01,1.753735397236721951e+02,3.425000000000000000e+02
2.963940130537970341e-01,1.756145550335280632e+02,3.450000000000000000e+02
2.982510238010094294e-01,1.758532320758756669e+02,3.475000000000000000e+02
3.001045924503327189e-01,1.760895985133703334e+02,3.500000000000000000e+02
3.019547317384940199e-01,1.763236816026211500e+02,3.525000000000000000e+02
3.038014543316585603e-01,1.765555082027981371e+02,3.550000000000000000e+02
3.056447728259475416e-01,1.767851047828165179e+02,3.575000000000000000e+02
3.074846997479549482e-01,1.770124974266102527e+02,3.600000000000000000e+02
3.093212475552566398e-01,1.772377118416517305e+02,3.625000000000000000e+02
3.111544286369177792e-01,1.774607733655300876e+02,3.650000000000000000e+02
3.129842553139934869e-01,1.776817069710152452e+02,3.675000000000000000e+02
3.148107398400273871e-01,1.779005372747324429e+02,3.700000000000000000e+02
3.166338944015429924e-01,1.781172885414231928e+02,3.725000000000000000e+02
3.184537311185287045e-01,1.783319846902352879e+02,3.750000000000000000e+02
3.202702620449264237e-01,1.785446493029097041e+02,3.775000000000000000e+02
3.220834991691071680e-01,1.787553056266651765e+02,3.800000000000000000e+02
3.238934544143471927e-01,1.789639765831699094e+02,3.825000000000000000e+02
3.257001396392954495e-01,1.791706847710934198e+02,3.850000000000000000e+02
3.275035666384469302e-01,1.793754524741057992e+02,3.875000000000000000e+02
3.293037471425948048e-01,1.795783016647302475e+02,3.900000000000000000e+02
3.311006928192958276e-01,1.797792540103612851e+02,3.925000000000000000e+02
3.328944152733229189e-01,1.799783308784025451e+02,3.950000000000000000e+02
3.346849260471106424e-01,1.801755533411464967e+02,3.975000000000000000e+02
3.364722366212072324e-01,1.803709421811122411e+02,4.000000000000000000e+02
3.382563584147081359e-01,1.805645178957156531e+02,4.025000000000000000e+02
3.400373027857029329e-01,1.807563007018775920e+02,4.050000000000000000e+02
3.418150810317021060e-01,1.809463105414511972e+02,4.075000000000000000e+02
3.435897043900705827e-01,1.811345670849533462e+02,4.100000000000000000e+02
3.453611840384525622e-01,1.813210897361697675e+02,4.125000000000000000e+02
3.471295310951948987e-01,1.815058976378969646e+02,4.150000000000000000e+02
3.488947566197638239e-01,1.816890096742127128e+02,4.175000000000000000e+02
3.506568716131633900e-01,1.818704444764327945e+02,4.200000000000000000e+02
3.524158870183423109e-01,1.820502204260351107e+02,4.225000000000000000e+02
3.541718137206079087e-01,1.822283556596584901e+02,4.250000000000000000e+02
3.559246625480222415e-01,1.824048680726178304e+02,4.275000000000000000e+02
3.576744442718092221e-01,1.825797753233935339e+02,4.300000000000000000e+02
3.594211696067511341e-01,1.827530948361485343e+02,4.325000000000000000e+02
3.611648492115774323e-01,1.829248438063964386e+02,4.350000000000000000e+02
3.629054936893619243e-01,1.830950392023461575e+02,4.375000000000000000e+02
3.646431135879026897e-01,1.832636977716318825e+02,4.400000000000000000e+02
3.663777194001115456e-01,1.834308360415382708e+02,4.425000000000000000e+02
3.681093215643894689e-01,1.835964703247260843e+02,4.450000000000000000e+02
3.698379304650067367e-01,1.837606167217676045e+02,4.475000000000000000e+02
3.715635564324767937e-01,1.839232911245536854e+02,4.500000000000000000e+02
3.732862097439228477e-01,1.840845092199972441e+02,4.525000000000000000e+02
3.750059006234493508e-01,1.842442864927723747e+02,4.550000000000000000e+02
3.767226392425040427e-01,1.844026382287984802e+02,4.575000000000000000e+02
3.784364357202388840e-01,1.845595795178114713e+02,4.600000000000000000e+02
3.801473001238673821e-01,1.847151252572077169e+02,4.625000000000000000e+02
3.818552424690235259e-01,1.848692901544704910e+02,4.650000000000000000e+02
3.835602727201073425e-01,1.850220887298372361e+02,4.675000000000000000e+02
3.852624007906380044e-01,1.851735353202856231e+02,4.700000000000000000e+02
3.869616365435983862e-01,1.853236440808543932e+02,4.725000000000000000e+02
3.886579897917766258e-01,1.854724289890211537e+02,4.750000000000000000e+02
3.903514702981096818e-01,1.856199038457196480e+02,4.775000000000000000e+02
3.920420877760166234e-01,1.857660822795595550e+02,4.800000000000000000e+02
3.937298518897368038e-01,1.859109777481949664e+02,4.825000000000000000e+02
3.954147722546563770e-01,1.860546035422262605e+02,4.850000000000000000e+02
3.970968584376411425e-01,1.861969727859056718e+02,4.875000000000000000e+02
3.987761199573610638e-01,1.863380984412217742e+02,4.900000000000000000e+02
4.004525662846133982e-01,1.864779933095975650e+02,4.925000000000000000e+02
4.021262068426424974e-01,1.866166700350736960e+02,4.950000000000000000e+02
4.037970510074597175e-01,1.867541411047039617e+02,4.975000000000000000e+02
4.054651081081568909e-01,1.868904188536529887e+02,5.000000000000000000e+02
